name,rating,number_of_photos,message,rating_num,label
이주영,,23,"Editado 3 semanas atrás Muito bom, depois da reforma ficou melhor ainda. Doces saborosos, principalmente o banoffe, torta de morango, eclair, mil folhas, cheesecake. Também há vários sabores de gelato, e o cone é simplesmente sensacional, além de ser artesanal, lá no fundo tem um leve gostinho de canela. Lugar bem aconchegante, com vários lugares para sentar tanto interno, tanto externo. Porém dependendo do dia, tem um atendimento muito bom ou ruim, e geralmente o preço dos produtos são altos (um pouco). 1 /",,neutral
Samira Nahas,,,"2 semanas atrás NOVA Fui nessa Ofner almoçar no domingo e fui muito mal atendida pela funcionária que confundiu meu pedido e ainda quando reclamei para trocar ela disse que eu tinha pedido errado ,achando que ela estava certa qdo não estava ! Nunca vi isso de discutir com cliente ! Grossa e debochada! O local é agradável mas o atendimento é péssimo ! E em outras vezes os atendentes foram muito atrapalhados! Uma pena pois o local e a comida são de qualidade só precisa trocar a maioria dos funcionários! /",,neutral
Olívia Tartufari,,,"uma semana atrás NOVA Frequento a Ofner a décadas mas não é mais a mesma, a começar pelo salgados antes as coxinhas e empadas ficavam numa estufa agora eles aquecem na hora vem toda engordurada quentíssima por fora e fria por dentro, a empada quebrada, e fora o atendimento muito fraco. É uma pena! /",,negative
Tania Lacerda de Almeida,,,"um mês atrás Vou sempre tomar café nesta doceira apesar de achar o atendimento muito ruim. Precisa mais treinamento e mais funcionários. Certa vez, fiz o pedido e tive a paciência de esperar chegar o pedido na minha mesa. Passados 40 minutos chamei outra funcionária que atendeu depois de falar o tempo que esperei. Era um domingo 17hs. São produtos de qualidade,porém atendimento deixa muito a desejar. /",,neutral
Silvia Borges,4.7/5,86,"um ano atrás Refeição no local / Outro Recomendo - Pet friendly Faz muito tempo que frequento esta loja Ofner. Após a reforma recente o ambiente ficou mais amplo e agradável. Doces e salgados dispensam comentários, né, tudo ali é delicioso. Hoje minha escolha foi o APFELSTRUDEL, com sorvete de coco. Isso mesmo, sorvete de coco para fugir do tradicional sorvete de vanila, rs E para finalizar, um espresso.",4.7,positive
Ricardo Ferrara,,5888,5 meses atrás Ótimas bebidas quentes ! Ótimo croissant de presunto e queijo! /,,neutral
Lorena Gigli,,,"3 dias atrás NOVA Atendimento péssimo, 35 minutos esperando um café e para piorar nao trouxeram o croissant!!! Sem contar que no frio de 9 graus , a estufa estás em gás!!!! 1 /",,neutral
Lilian Moskau,,35,"Editado 2 meses atrás Sou freguesa da Ofner há muitos anos e sempre fui fã de tudo desde doces a todos salgados. Estou decepcionada com a qualidade do casadinho de camarão. Acredito que tenham mudado a receita. Comprei ontem e trouxe para casa e estava horrível. A massa dura, longe de ser cremosa, parecia mais uma pasta de cimento. Fiquei chocada, triste e inconformada pois é de altissimo preço e qualidade zero!!! A empadinha diminuiu de tamanho e de recheio, mas o preço aumentou muuuito, que injustiça!!!Favor repensar e refazer a receita dos meus salgadinhos favoritos. /",,neutral
Charles,,43,"2 meses atrás Impossível resistir às delícias da Ofner! Cada doce é feito com tanto cuidado e sabor que transforma qualquer momento em algo especial. Parabéns pela qualidade, tradição e excelência que sempre encantam. Uma verdadeira referência quando o assunto é doce! /",,neutral
Mauricio T.,5.0/5,16,"7 meses atrás Outro / R$ 60–80 O local é agradável, gosto de comer o creme holandês que é meu favorito. O gelato de pistache é bom, mas não é o melhor, prefiro o de chocolate! O atendimento é bom, sem reclamações!",5.0,positive
T. Oliver,,2,"2 meses atrás Nunca fui tão maltratado e mal atendido em um estabelecimento. Funcionários extremamente preconceituosos, que praticam ativamente a discriminação. Quem está bem vestido, é bem atendido. Moro ao lado do estabelecimento, fui de pijama, mal olharam para mim e foram extremamente grosseiros e desrespeitosos no turno da noite. 2 /",,negative
Ms. Deborah B.,,14,"um mês atrás O atendimento na loja é ok, mas no Ifood e no whatsapp é péssimo. Precisam colocar humanos para trabalhar ao invés de robôs ineficientes. /",,neutral
Paulo Carvalho,5.0/5,835,"Editado 6 meses atrás Refeição no local / Almoço / R$ 80–100 Para mim melhor doceria , Atendimento muito bom. Essa unidade tem bastante mesas.",5.0,positive
Luiz Mandarano,,,"5 meses atrás Hoje foi lamentável. 10:05 h. Fiquei sentado no salão interno, para degustar um salgado. Vários funcionários conversando e mesmo fazendo sinal, não consegui ser atendido. Passei no caixa, paguei a rosca que comprei e reclamei. Sou cliente dessa loja desde a abertura dela. Lamentável. Se faz necessário um provável treinamento. Luiz Mandarano. SP. 28 / 02 / 25. 3 /",,neutral
Amanda Bricoli,,350,"um ano atrás Recentemente reformada, ficou muito bonita, praticamente todos os funcionários muito educados. Tirando uma funcionária do caixa que é bem mal humorada, todo o resto é um amor no atendimento. Possuem programa de pontos há pouco tempo, sempre bom avisar o cpf com antecedência pois a “mal humorada” não pede cpf então não inclui seus pontos. Tudo muito gostoso porém valor bem elevado. 1 /",,neutral
Sidney Machado,,3,"2 semanas atrás NOVA Que gelato magnífico, começa pelo nome DUBAI, teletransporte pelo sabor e elegancia /",,neutral
Icaro Venzon,,93,"4 anos atrás Atendimento perfeito, ambiente limpíssimo e os doces são incríveis! Não deixem de provar os sorvetes! 1",,neutral
Natália Magno,,536,um ano atrás Foi reformada e reaberta no início desse mês e está muito melhor em espaço físico e opções. Gostei muito da experiência! Irei voltar para experimentar outros salgados etc do cardápio. 1 /,,neutral
Ricardo Luis Jordão de Magalhães,5.0/5,733,Editado um ano atrás Ofner com uma varanda ótima para tomar um café e comer salgados e doces. Não tem estacionamento. Porém o atendimento é muito bom. Tortinha de morango sensacional. Agora está tendo festival do pistache. Mil folhas com creme de pistache deliciosa.,5.0,positive
Gustavo Auni,1.0/5,,"·1 foto 9 meses atrás Eu e meus amigos escolhemos esta confeitaria para um aniversario surpresa de um grande amigo nosso. Quando fomos buscar o bolo no dia e horario combinado, uma hora antes da festa surpresa acontecer, o chefe não fez nosso bolo e foi embora. E a atendente nos pediu desculpas e nos disse apenas isso. Obviamente nunca mais iremos dar preferencia a este lugar e agora estamos atras de outra confeitaria de ultima hora. Experiência horrível !!! NÃO RECOMENDO Serviço: 1 / 5 /",1.0,negative
Thiago Canato,1.7/5,,"9 meses atrás Conheço essa unidade Ofner desde que me mudei para o bairro, isso já tem quase 20 anos. Até uns 3 anos atrás era uma loja bem melhor. Os doces, salgados e bolos diminuíram praticamente pela metade do tamanho que eram e o preço mais que dobrou. É aquela sensação que você paga e não leva. Parei de frequentar, pois a região tem lojas oferecendo produtos melhores, com tamanho e preço justos.",1.7,negative
Vera Somma,2.7/5,,"10 meses atrás Cliente da Ofner há muitos anos, após a reforma a loja ficou bonita, mas não está correspondendo ao padrão “Ofner”. Hoje pedimos mil folhas - o que veio foi quase só chantilly. Pouquíssimo creme e massa folhada. A tortinha de morango também quase sem creme, massa muito dura. O café nem pedimos mais. Vem frio. O da padaria é melhor. Ah… tempo de atendimento também deixa a desejar. Temos insistido em voltar, esperando melhora, mas ela não parece estar vindo.",2.7,neutral
Paulinho TV,,8,"6 meses atrás Excelente localização, atendimento impecável, cardápio variado, produtos de alta qualidade e preço justo pelo o que é oferecido!! Parabéns /",,neutral
Lucas Brasileiro,,,"5 meses atrás Atendimento muito demorado. Está sempre cheio, a quantidade de funcionários não dá conta. Precisam melhorar. /",,neutral
J Abrahao Urologista,3.7/5,,"·1 foto Editado 9 meses atrás Refeição no local / Outro / R$ 40–60 Depois que o suposto ""guarda carros"" que não é confiável, e acabou me ameaçando na saída, porque não gostou da minha gratificação, Eu jamais voltaria nessa loja!!!! Vou verificar em uma próxima vez se ele continua na porta, e se estiver eu me dispesso de vocês. Ele nem estava presente na minha chegada, e ainda jogou para dentro do meu carro a gratificação. Enfim, a falta de um bom segurança que já teve anteriormente é fundamental para nossa segurança, já que não temos estacionamento disponivel. Sinceramente, se esse sujeito estiver lá na próxima sexta-feira quando passo momentos agradáveis com meu neto, eu não vou estacionar. Obrigado",3.7,neutral
Marcio Araujo,5.0/5,,"8 meses atrás Fazia muito tempo que não frequentava essa loja da unidade Perdizes, e que vamos combinar e uma rede incrivel. Sábado está na região e passei para um simples café, mas o que não esperava era o melhor atendimento que já recebi na vida. Uma jovem de sorriso fácil, voz mansa e um atendimento impecável. Sophia atendia a todos de maneira impecável!!! Obrigado. Por mais Sophias no mundo!",5.0,positive
Cleber Kouyomdjian,4.0/5,6,"9 meses atrás Ontem passamos aqui no final do dia e o segurança, as 9:55 quase jogou a mesa em nossa mão, afinal está na hora de ele ir embora. Voltamos hoje, o mesmo segurança aqui, com a mão no bolso, batendo papo com as atendentes… fiz meu pedido e 4 mesas foram atendidas na minha frente. Fui perguntar e a desculpa foi pior ainda. E a atendente batendo papo com o segurança. Aqui já foi bom, reformaram o ambiente e destruíram o atendimento. Acho isso um absurdo. Um monte de funcionário sem fazer nada… clientes invisíveis.",4.0,positive
William Ramos,,6,"5 meses atrás Não é a primeira vez e a terceira já, vende gelato mais não tem casquinha só no copinho. /",,neutral
